AmountFragments;NumFiles
0;1160
1;1391
2;57
3;1
4;3
5;1
6;5
7;2
8;2
11;2
12;5
14;1
20;1
22;2
130;1
0,28;160
0,6;69
0,09;188
0,5;609
0,25;205
0,37;78
0,04;544
0,42;82
0,06;801
0,79;1
0,66;852
0,02;501
0,21;37
0,08;213
0,33;262
0,1;177
0,62;11
0,11;162
0,13;84
0,31;6
0,07;240
0,01;641
0,12;234
0,44;10
0,4;348
0,27;28
1,03;1
0,2;140
0,03;476
0,18;149
0,71;9
0,8;31
0,75;47
0,94;1
0,17;40
0,05;347
0,22;87
0,16;136
0,14;80
0,57;14
0,36;14
0,41;12
0,55;7
0,15;111
0,35;6
0,23;24
0,24;3
0,3;31
0,26;22
0,56;6
0,83;10
0,43;5
0,53;1
0,19;10
0,85;10
0,58;1
0,32;3
0,9;3
0,96;1
1,5;2
0,39;2
0,29;2
0,54;1
0,46;1
0,87;3
0,93;1
0,34;1
1,02;2
0,68;4
0,63;1
0,45;3
0,52;1
0,78;1


