AverageFragments;NumFiles
0;62.10344827586207
1;47.96551724137931
2;1.9655172413793103
3;0.034482758620689655
4;0.10344827586206896
5;0.034482758620689655
6;0.1724137931034483
7;0.06896551724137931
8;0.06896551724137931
11;0.06896551724137931
12;0.1724137931034483
14;0.034482758620689655
20;0.034482758620689655
22;0.06896551724137931
130;0.034482758620689655
0,28;5.586206896551724
0,6;2.3793103448275863
0,08;13.827586206896552
0,5;21
0,24;7.172413793103448
0,36;3.1724137931034484
0,04;30.724137931034484
0,42;3
0,06;35.89655172413793
0,78;0.06896551724137931
0,66;29.379310344827587
0,02;33.689655172413794
0,2;6.103448275862069
0,32;9.137931034482758
0,1;11.689655172413794
0,62;0.41379310344827586
0,12;10.96551724137931
0,3;1.2758620689655173
0,44;0.4482758620689655
0,4;12.413793103448276
0,26;1.7241379310344827
1,02;0.10344827586206896
0,18;5.482758620689655
0,7;0.3103448275862069
0,8;1.0689655172413792
0,74;1.6206896551724137
0,94;0.034482758620689655
0,16;6.068965517241379
0,22;3.8275862068965516
0,14;6.586206896551724
0,56;0.6896551724137931
0,54;0.27586206896551724
0,34;0.2413793103448276
0,82;0.3448275862068966
0,52;0.06896551724137931
0,84;0.3448275862068966
0,58;0.034482758620689655
0,9;0.10344827586206896
0,96;0.034482758620689655
1,5;0.06896551724137931
0,38;0.06896551724137931
0,46;0.034482758620689655
0,86;0.10344827586206896
0,92;0.034482758620689655
0,68;0.13793103448275862


