AVGTypeOfFile;Fragments
UNDEFINED;2,9705882352941178
REG;2,5
SUO;2,8333333333333335
DB;10,71875
IPCH;3,966666666666667
IDB;7,565217391304348
PCH;3,909090909090909
PDB;5,2727272727272725
OBJ;2,611111111111111
TLOG;2,388888888888889
ILK;3,7
RESX;2,1
CACHE;2
EXE;2
CS;2
CPP;2
O;2
LOG;2,5714285714285716
DAT;3,3157894736842106
XMI;3,7777777777777777
INDEX;3,8421052631578947
CORE;2
RSS;3
BMP;2
TII;2,2
TIS;5
TXT;2
FDX;2,75
NRM;3,25
PRX;2,8
FRQ;2,6666666666666665
FDT;4,5
D:\;2
VDI;4,5
VBOX;2
JAR;2
XMCD;4


